C0	1321N1_CENTRAL_NERVOUS_SYSTEM
C164	HUCCT1_BILIARY_TRACT
C165	HUH1_LIVER
C166	HUPT3_PANCREAS
C167	HUPT4_PANCREAS
C168	HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C169	IALM_LUNG
C170	IGR37_SKIN
C171	IGR39_SKIN
C172	IGROV1_OVARY
C173	IM95_STOMACH
C174	IMR32_AUTONOMIC_GANGLIA
C175	IPC298_SKIN
C176	ISHIKAWAHERAKLIO02ER_ENDOMETRIUM
C177	ISTMES1_PLEURA
C178	ISTMES2_PLEURA
C179	J82_URINARY_TRACT
C180	JHH2_LIVER
C181	JHH4_LIVER
C182	JHH5_LIVER
C183	JHH6_LIVER
C184	JHH7_LIVER
C185	JHOS2_OVARY
C186	JHOS4_OVARY
C187	JHUEM2_ENDOMETRIUM
C188	JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C189	JMSU1_URINARY_TRACT
C190	JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C191	JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C192	K029AX_SKIN
C193	KALS1_CENTRAL_NERVOUS_SYSTEM
C194	KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C195	KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C196	KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C197	KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C198	KCIMOH1_PANCREAS
C199	KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C200	KE39_STOMACH
C201	KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C202	KELLY_AUTONOMIC_GANGLIA
C203	KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C204	KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C205	KLE_ENDOMETRIUM
C206	KMBC2_URINARY_TRACT
C207	KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C208	KMRC1_KIDNEY
C209	KMRC2_KIDNEY
C210	KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C211	KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C212	KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C213	KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C214	KNS42_CENTRAL_NERVOUS_SYSTEM
C215	KNS60_CENTRAL_NERVOUS_SYSTEM
C216	KNS62_LUNG
C217	KNS81_CENTRAL_NERVOUS_SYSTEM
C218	KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C219	KP1N_PANCREAS
C220	KP1NL_PANCREAS
C221	KP2_PANCREAS
C222	KP3_PANCREAS
C223	KP4_PANCREAS
C224	KPNSI9S_AUTONOMIC_GANGLIA
C225	KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C226	KURAMOCHI_OVARY
C227	KYM1_SOFT_TISSUE
C228	KYSE140_OESOPHAGUS
C229	KYSE150_OESOPHAGUS
C230	KYSE180_OESOPHAGUS
C231	KYSE30_OESOPHAGUS
C232	KYSE410_OESOPHAGUS
C233	KYSE450_OESOPHAGUS
C234	KYSE510_OESOPHAGUS
C235	KYSE520_OESOPHAGUS
C236	KYSE70_OESOPHAGUS
C237	L33_PANCREAS
C238	L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C239	L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C240	LC1SQSF_LUNG
C241	LCLC103H_LUNG
C242	LN18_CENTRAL_NERVOUS_SYSTEM
C243	LN229_CENTRAL_NERVOUS_SYSTEM
C244	LOUNH91_LUNG
C245	LOXIMVI_SKIN
C246	LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C247	LS123_LARGE_INTESTINE
C248	LS411N_LARGE_INTESTINE
C249	LS513_LARGE_INTESTINE
C250	LU99_LUNG
C251	LUDLU1_LUNG
C252	M059J
C253	MALME3M_SKIN
C254	MB157_BREAST
C255	MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C256	MCAS_OVARY
C257	MCF7_BREAST
C258	MDAMB157_BREAST
C259	MDAMB175VII_BREAST
C260	MDAMB415_BREAST
C261	MDAMB435S_SKIN
C262	MDAMB436_BREAST
C263	MDAMB453_BREAST
C264	MDAMB468_BREAST
C265	MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C266	MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C267	MELHO_SKIN
C268	MESSA_SOFT_TISSUE
C269	MEWO_SKIN
C270	MFE280_ENDOMETRIUM
C271	MFE296_ENDOMETRIUM
C272	MFE319_ENDOMETRIUM
C273	MG63_BONE
C274	MHHES1_BONE
C275	MIAPACA2_PANCREAS
C276	MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C277	MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C278	MKN45_STOMACH
C279	MKN7_STOMACH
C280	MKN74_STOMACH
C281	MOGGCCM_CENTRAL_NERVOUS_SYSTEM
C282	MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C283	MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C284	MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C285	MORCPR_LUNG
C286	MPP89_PLEURA
C287	MSTO211H_PLEURA
C288	NCIH1048_LUNG
C289	NCIH1092_LUNG
C290	NCIH1155_LUNG
C291	NCIH1184_LUNG
C292	NCIH1299_LUNG
C293	NCIH1339_LUNG
C294	NCIH1341_LUNG
C295	NCIH1355_LUNG
C296	NCIH1373_LUNG
C297	NCIH1563_LUNG
C298	NCIH1568_LUNG
C299	NCIH1573_LUNG
C300	NCIH1581_LUNG
C301	NCIH1648_LUNG
C302	NCIH1650_LUNG
C303	NCIH1651_LUNG
C304	NCIH1666_LUNG
C305	NCIH1693_LUNG
C306	NCIH1694_LUNG
C307	NCIH1703_LUNG
C308	NCIH1792_LUNG
C309	NCIH1793_LUNG
C310	NCIH1869_LUNG
C311	NCIH1915_LUNG
C312	NCIH1944_LUNG
C313	NCIH1975_LUNG
C314	NCIH2009_LUNG
C315	NCIH2023_LUNG
C316	NCIH2030_LUNG
C317	NCIH2052_PLEURA
C318	NCIH2085_LUNG
C319	NCIH2087_LUNG
C320	NCIH211_LUNG
C321	NCIH2122_LUNG
C322	NCIH2170_LUNG
C323	NCIH2172_LUNG
C324	NCIH2228_LUNG
C325	NCIH226_LUNG
C326	NCIH2286_LUNG
C327	NCIH23_LUNG
C328	NCIH2444_LUNG
C329	NCIH2452_PLEURA
C330	NCIH28_PLEURA
C331	NCIH322_LUNG
C332	NCIH3255_LUNG
C333	NCIH358_LUNG
C334	NCIH441_LUNG
C335	NCIH460_LUNG
C336	NCIH520_LUNG
C337	NCIH522_LUNG
C338	NCIH647_LUNG
C339	NCIH650_LUNG
C340	NCIH661_LUNG
C341	NCIH727_LUNG
C342	NCIH747_LARGE_INTESTINE
C343	NCIH810_LUNG
C344	NCIN87_STOMACH
C345	NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C346	NIHOVCAR3_OVARY
C347	NUGC3_STOMACH
C348	NUGC4_STOMACH
C349	OC314_OVARY
C350	OC315_OVARY
C351	OC316_OVARY
C352	OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C353	OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C354	OCILY10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C355	OCUM1_STOMACH
C356	OE21_OESOPHAGUS
C357	OE33_OESOPHAGUS
C358	ONCODG1_OVARY
C359	ONS76_CENTRAL_NERVOUS_SYSTEM
C360	OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C361	OV90_OVARY
C362	OVCAR4_OVARY
C363	OVCAR8_OVARY
C364	OVMANA_OVARY
C365	OVSAHO_OVARY
C366	OVTOKO_OVARY
C367	P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C368	P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C369	P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C370	PANC0203_PANCREAS
C371	PANC0327_PANCREAS
C372	PANC0403_PANCREAS
C373	PANC1005_PANCREAS
C374	PATU8902_PANCREAS
C375	PC14_LUNG
C376	PC3_PROSTATE
C377	PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C378	PK1_PANCREAS
C379	PK45H_PANCREAS
C380	PK59_PANCREAS
C381	PL45_PANCREAS
C382	PLCPRF5_LIVER
C383	PSN1_PANCREAS
C384	QGP1_PANCREAS
C385	RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C386	RD_SOFT_TISSUE
C387	REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C388	RERFGC1B_STOMACH
C389	RERFLCAI_LUNG
C390	RERFLCMS_LUNG
C391	RKN_OVARY
C392	RKO_LARGE_INTESTINE
C393	RL952_ENDOMETRIUM
C394	RPMI7951_SKIN
C395	RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C396	RT112_URINARY_TRACT
C397	RT4_URINARY_TRACT
C398	RVH421_SKIN
C399	SAOS2_BONE
C400	SBC5_LUNG
C401	SCABER_URINARY_TRACT
C402	SCC9_UPPER_AERODIGESTIVE_TRACT
C403	SF126_CENTRAL_NERVOUS_SYSTEM
C404	SF295_CENTRAL_NERVOUS_SYSTEM
C405	SF8657
C406	SH10TC_STOMACH
C407	SHP77_LUNG
C408	SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C409	SIMA_AUTONOMIC_GANGLIA
C410	SJRH30_SOFT_TISSUE
C411	SJSA1_BONE
C412	SKBR3_BREAST
C413	SKCO1_LARGE_INTESTINE
C414	SKES1_BONE
C415	SKHEP1_LIVER
C416	SKLMS1_SOFT_TISSUE
C417	SKLU1_LUNG
C418	SKMEL2_SKIN
C419	SKMEL24_SKIN
C420	SKMEL30_SKIN
C421	SKMEL31_SKIN
C422	SKMEL5_SKIN
C423	SKMES1_LUNG
C424	SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C425	SKNAS_AUTONOMIC_GANGLIA
C426	SKNBE2_AUTONOMIC_GANGLIA
C427	SKNDZ_AUTONOMIC_GANGLIA
C428	SKNFI_AUTONOMIC_GANGLIA
C429	SKNSH_AUTONOMIC_GANGLIA
C430	SKOV3_OVARY
C431	SNGM_ENDOMETRIUM
C432	SNU1_STOMACH
C433	SNU16_STOMACH
C434	SNU182_LIVER
C435	SNU387_LIVER
C436	SNU398_LIVER
C437	SNU423_LIVER
C438	SNU449_LIVER
C439	SNU475_LIVER
C440	SNUC2A_LARGE_INTESTINE
C441	SNUC2B
C442	SQ1_LUNG
C443	SU8686_PANCREAS
C444	SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C445	SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C446	SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C447	SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C448	SUIT2_PANCREAS
C449	SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C450	SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C451	SW1088_CENTRAL_NERVOUS_SYSTEM
C452	SW1271_LUNG
C453	SW1353_BONE
C454	SW1417_LARGE_INTESTINE
C455	SW1573_LUNG
C456	SW1990_PANCREAS
C457	SW403_LARGE_INTESTINE
C458	SW48_LARGE_INTESTINE
C459	SW480_LARGE_INTESTINE
C460	SW579_THYROID
C461	SW620_LARGE_INTESTINE
C462	SW780_URINARY_TRACT
C463	SW900_LUNG
C464	T24_URINARY_TRACT
C465	T3M10_LUNG
C466	T47D_BREAST
C467	T84_LARGE_INTESTINE
C468	T98G_CENTRAL_NERVOUS_SYSTEM
C469	TC71_BONE
C470	TCCSUP_URINARY_TRACT
C471	TE1_OESOPHAGUS
C472	TE11_OESOPHAGUS
C473	TE15_OESOPHAGUS
C474	TE5_OESOPHAGUS
C475	TE617T_SOFT_TISSUE
C476	TE9_OESOPHAGUS
C477	TEN_ENDOMETRIUM
C478	TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C479	TOV112D_OVARY
C480	TOV21G_OVARY
C481	TT2609C02_THYROID
C482	TYKNU_OVARY
C483	U118MG_CENTRAL_NERVOUS_SYSTEM
C484	U2OS_BONE
C485	U87MG_CENTRAL_NERVOUS_SYSTEM
C486	U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C487	UACC257_SKIN
C488	UACC62_SKIN
C489	UACC812_BREAST
C490	UMUC3_URINARY_TRACT
C491	VMRCLCD_LUNG
C492	VMRCRCW_KIDNEY
C493	VMRCRCZ_KIDNEY
C494	WM115_SKIN
C495	WM1799_SKIN
C496	WM2664_SKIN
C497	WM793_SKIN
C498	WM88_SKIN
C499	WM983B_SKIN
C500	YKG1_CENTRAL_NERVOUS_SYSTEM
C501	ZR751_BREAST
C502	ZR7530_BREAST
C503	SCC25_UPPER_AERODIGESTIVE_TRACT
C504	CAOV3_OVARY
C505	MOLT4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C506	NCIH524_LUNG
C507	NCIH209_LUNG
C508	COLO829_SKIN
C509	VCAP_PROSTATE
C510	COLO704_OVARY
C511	EFM192A_BREAST
C512	NCIH196_LUNG
C513	NCIH889_LUNG
C514	HS571T_OVARY
C515	MDAPCA2B_PROSTATE
C516	NCIH2171_LUNG
C517	EVSAT_BREAST
C518	LK2_LUNG
C519	SKMEL3_SKIN
C520	RERFLCSQ1_LUNG
C521	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C522	MELJUSO_SKIN
C523	MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C524	MDAMB231_BREAST
C525	RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C526	SW1463_LARGE_INTESTINE
C527	JHH1_LIVER
C528	COLO800_SKIN
C529	NCIH1963_LUNG
C530	M059K_CENTRAL_NERVOUS_SYSTEM
C531	GOS3_CENTRAL_NERVOUS_SYSTEM
C532	L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C533	DANG_PANCREAS
C534	NCIH526_LUNG
C535	NCIH2196_LUNG
C536	NCIH446_LUNG
C537	TCCPAN2_PANCREAS
C538	RMGI_OVARY
C539	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C540	OE19_OESOPHAGUS
C541	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C542	KM12_LARGE_INTESTINE
C543	COLO849_SKIN
C544	MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C545	PATU8988T_PANCREAS
C546	OVISE_OVARY
C547	RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C548	SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C549	HLFA_LUNG
C550	SNB19_CENTRAL_NERVOUS_SYSTEM
C551	LNCAPCLONEFGC_PROSTATE
C552	U251MG_CENTRAL_NERVOUS_SYSTEM
C553	KS1_CENTRAL_NERVOUS_SYSTEM
C554	MOGGUVW_CENTRAL_NERVOUS_SYSTEM
C555	RERFLCAD1_LUNG
C556	ABC1_LUNG
C557	AGS_STOMACH
C558	LOVO_LARGE_INTESTINE
C559	OVKATE_OVARY
C560	RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C561	DLD1_LARGE_INTESTINE
C562	NCIH1395_LUNG
C563	NCIH1781_LUNG
C564	LS1034_LARGE_INTESTINE
C565	NCIH146_LUNG
C566	LS180_LARGE_INTESTINE
C567	KATOIII_STOMACH
C568	SW948_LARGE_INTESTINE
C569	HS606T_BREAST
C570	DMS79_LUNG
C571	NCIH2106_LUNG
C572	CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C573	A498_KIDNEY
C574	BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C575	CAPAN1_PANCREAS
C576	CFPAC1_PANCREAS
C577	NCIH1437_LUNG
C578	SKNMC_BONE
C579	MDAMB361_BREAST
C580	PANC0213_PANCREAS
C581	DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C582	RDES_BONE
C583	NCIH82_LUNG
C584	GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C585	HCC1143_BREAST
C586	HCC1937_BREAST
C587	D283MED_CENTRAL_NERVOUS_SYSTEM
C588	NMCG1_CENTRAL_NERVOUS_SYSTEM
C589	HS604T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C590	KYSE270_OESOPHAGUS
C591	JHUEM1_ENDOMETRIUM
C592	YH13_CENTRAL_NERVOUS_SYSTEM
C593	GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C594	SCC4_UPPER_AERODIGESTIVE_TRACT
C595	DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C596	EPLC272H_LUNG
C597	SNU5_STOMACH
C598	CAOV4_OVARY
C599	HCC2218_BREAST
C600	KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C601	KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C602	KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C603	MKN1_STOMACH
C604	KG1C_CENTRAL_NERVOUS_SYSTEM
C605	HUH7_LIVER
C606	KMRC20_KIDNEY
C607	KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C608	A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C609	HEC108_ENDOMETRIUM
C610	HUH28_BILIARY_TRACT
C611	CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C612	THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C613	A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C614	AM38_CENTRAL_NERVOUS_SYSTEM
C615	HEC50B_ENDOMETRIUM
C616	HSC3_UPPER_AERODIGESTIVE_TRACT
C617	HSC4_UPPER_AERODIGESTIVE_TRACT
C618	HUG1N_STOMACH
C619	U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C620	DMS53_LUNG
C621	SW1116_LARGE_INTESTINE
C622	HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C623	AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C624	HCC2157_BREAST
C625	NCIH2227_LUNG
C626	OV56_OVARY
C627	RMUGS_OVARY
C628	RKN_SOFT_TISSUE
C629	PATU8988S_PANCREAS
C630	NH6_AUTONOMIC_GANGLIA
C631	RERFLCAD2_LUNG
C632	OUMS23_LARGE_INTESTINE
C633	OUMS27_BONE
C634	NCIH2347_LUNG
C635	HS940T_SKIN
C636	HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C637	NCIH510_LUNG
C638	CAKI1_KIDNEY
C639	NCIH716_LARGE_INTESTINE
C640	NCIH2066_LUNG
C641	NCIH2029_LUNG
C642	LU65_LUNG
C643	SKMEL1_SKIN
C644	HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C645	HCC38_BREAST
C646	DU4475_BREAST
C647	NCIH508_LARGE_INTESTINE
C648	SKUT1_SOFT_TISSUE
C649	SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C650	BECKER_CENTRAL_NERVOUS_SYSTEM
C651	SW1783_CENTRAL_NERVOUS_SYSTEM
C652	NCIH1734_LUNG
C653	NCIH2342_LUNG
C654	YMB1_BREAST
C655	T173_BONE
C656	HS618T_LUNG
C657	HS870T_BONE
C658	HS706T_BONE
C659	PANC1_PANCREAS
C660	NCIH2291_LUNG
C661	CPCN_LUNG
C662	NUGC2_STOMACH
C663	KPNYN_AUTONOMIC_GANGLIA
C664	CCFSTTG1_CENTRAL_NERVOUS_SYSTEM
C665	NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C666	KMRC3_KIDNEY
C667	DMS153_LUNG
C668	D341MED_CENTRAL_NERVOUS_SYSTEM
C669	NCIH660_PROSTATE
C670	NCIH1618_LUNG
C671	HS675T_LARGE_INTESTINE
C672	PEER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C673	SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C674	HS839T_SKIN
C675	OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C676	HS819T_BONE
C677	NCIH69_LUNG
C678	LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C679	TO175T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C680	PANC0813_PANCREAS
C681	NCIH1930_LUNG
C682	NCIH1623_LUNG
C683	NCIH1838_LUNG
C684	NCIH1836_LUNG
C685	HS688AT_SKIN
C686	PANC0504_PANCREAS
C687	HS822T_BONE
C688	G292CLONEA141B1_BONE
C689	RCM1_LARGE_INTESTINE
C690	HS737T_BONE
C691	HS616T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C692	HS600T_SKIN
C693	TE159T_SOFT_TISSUE
C694	A101D_SKIN
C695	NCIH1755_LUNG
C696	143B_BONE
C697	RERFLCKJ_LUNG
C698	HUTU80_SMALL_INTESTINE
