C0	PC3_PROSTATE
C167	MOLM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C168	LN215_CENTRAL_NERVOUS_SYSTEM
C169	LN382_CENTRAL_NERVOUS_SYSTEM
C170	U118MG_CENTRAL_NERVOUS_SYSTEM
C171	KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C172	BECKER_CENTRAL_NERVOUS_SYSTEM
C173	CHAGOK1_LUNG
C174	CJM_SKIN
C175	EPLC272H_LUNG
C176	FTC238_THYROID
C177	RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C178	KP1NL_PANCREAS
C179	MCF7_BREAST
C180	AGS_STOMACH
C181	HTK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C182	MEC2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C183	WM983B_SKIN
C184	T84_LARGE_INTESTINE
C185	SNU719_STOMACH
C186	DFCI024_LUNG
C187	SKMEL24_SKIN
C188	OV7_OVARY
C189	PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C190	NCIH2085_LUNG
C191	MDAMB435S_SKIN
C192	HCC827GR5_LUNG
C193	A498_KIDNEY
C194	RVH421_SKIN
C195	MDAMB175VII_BREAST
C196	SF767_CENTRAL_NERVOUS_SYSTEM
C197	RDES_BONE
C198	CORL88_LUNG
C199	CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C200	OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C201	HS604T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C202	NCIH1930_LUNG
C203	LK2_LUNG
C204	CAL62_THYROID
C205	HS688AT_SKIN
C206	HS742T_BREAST
C207	NCIH1573_LUNG
C208	HEPG2_LIVER
C209	NCIH2347_LUNG
C210	COLO800_SKIN
C211	SNU1041_UPPER_AERODIGESTIVE_TRACT
C212	HCC364_LUNG
C213	SKMEL3_SKIN
C214	PANC0403_PANCREAS
C215	NCIH358_LUNG
C216	SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C217	ABC1_LUNG
C218	SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C219	SNU423_LIVER
C220	22RV1_PROSTATE
C221	HCC2814_LUNG
C222	HS819T_BONE
C223	RMGI_OVARY
C224	NCIH82_LUNG
C225	BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C226	KATOIII_STOMACH
C227	LN443_CENTRAL_NERVOUS_SYSTEM
C228	HSC2_UPPER_AERODIGESTIVE_TRACT
C229	JHH4_LIVER
C230	CAL148_BREAST
C231	ONS76_CENTRAL_NERVOUS_SYSTEM
C232	NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C233	SW1271_LUNG
C234	MEWO_SKIN
C235	UT7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C236	SNU626_CENTRAL_NERVOUS_SYSTEM
C237	U2OS_BONE
C238	JHH7_LIVER
C239	LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C240	BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C241	CAL29_URINARY_TRACT
C242	SW48_LARGE_INTESTINE
C243	SNU1040_LARGE_INTESTINE
C244	NMCG1_CENTRAL_NERVOUS_SYSTEM
C245	SNU1076_UPPER_AERODIGESTIVE_TRACT
C246	A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C247	EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C248	SKES1_BONE
C249	HEC59_ENDOMETRIUM
C250	HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C251	SUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C252	NCIH1650_LUNG
C253	COLO677_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C254	CORL95_LUNG
C255	NUDUL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C256	RT11284_URINARY_TRACT
C257	RS5_PLEURA
C258	K029AX_SKIN
C259	SNU1066_UPPER_AERODIGESTIVE_TRACT
C260	BHY_UPPER_AERODIGESTIVE_TRACT
C261	JHUEM1_ENDOMETRIUM
C262	NCIH1703_LUNG
C263	H4_CENTRAL_NERVOUS_SYSTEM
C264	TE159T_SOFT_TISSUE
C265	BC3C_URINARY_TRACT
C266	MDAMB453_BREAST
C267	HCC1954_BREAST
C268	CFPAC1_PANCREAS
C269	MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C270	UACC257_SKIN
C271	TE1_OESOPHAGUS
C272	OV56_OVARY
C273	LS1034_LARGE_INTESTINE
C274	KALS1_CENTRAL_NERVOUS_SYSTEM
C275	CL14_LARGE_INTESTINE
C276	SW620_LARGE_INTESTINE
C277	NCIH727_LUNG
C278	LS123_LARGE_INTESTINE
C279	LNZ308_CENTRAL_NERVOUS_SYSTEM
C280	VMRCRCW_KIDNEY
C281	HUH7_LIVER
C282	SNU840_OVARY
C283	NCIH1623_LUNG
C284	639V_URINARY_TRACT
C285	KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C286	HEC108_ENDOMETRIUM
C287	LN229_CENTRAL_NERVOUS_SYSTEM
C288	HEC1B_ENDOMETRIUM
C289	CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C290	CPCN_LUNG
C291	NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C292	MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C293	HCT8_LARGE_INTESTINE
C294	PK59_PANCREAS
C295	HCC1419_BREAST
C296	COLO668_LUNG
C297	NCIH1781_LUNG
C298	OV90_OVARY
C299	TC71_BONE
C300	TIG3TD_LUNG
C301	SKOV3_OVARY
C302	KPNSI9S_AUTONOMIC_GANGLIA
C303	PC14_LUNG
C304	NCIH322_LUNG
C305	NCIH2029_LUNG
C306	PLCPRF5_LIVER
C307	MB157_BREAST
C308	SW837_LARGE_INTESTINE
C309	HS870T_BONE
C310	EFM192A_BREAST
C311	RT4_URINARY_TRACT
C312	UACC812_BREAST
C313	L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C314	JHH6_LIVER
C315	ES2_OVARY
C316	SNU478_BILIARY_TRACT
C317	NCIH1792_LUNG
C318	SKMEL31_SKIN
C319	SLR20_KIDNEY
C320	LNCAPCLONEFGC_PROSTATE
C321	SKMES1_LUNG
C322	HCC2935_LUNG
C323	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C324	NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C325	COLO849_SKIN
C326	KYSE270_OESOPHAGUS
C327	OUMS27_BONE
C328	KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C329	HEP3B217_LIVER
C330	SNU213_PANCREAS
C331	COLO792_SKIN
C332	UMRC2_KIDNEY
C333	SF172_CENTRAL_NERVOUS_SYSTEM
C334	KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C335	HS571T_OVARY
C336	REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C337	COLO320_LARGE_INTESTINE
C338	HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C339	KNS60_CENTRAL_NERVOUS_SYSTEM
C340	KYSE450_OESOPHAGUS
C341	OVMANA_OVARY
C342	HMC18_BREAST
C343	T98G_CENTRAL_NERVOUS_SYSTEM
C344	8505C_THYROID
C345	KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C346	42MGBA_CENTRAL_NERVOUS_SYSTEM
C347	WM793_SKIN
C348	HS746T_STOMACH
C349	RKN_OVARY
C350	HS737T_BONE
C351	KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C352	NCIH1651_LUNG
C353	YD15_SALIVARY_GLAND
C354	L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C355	AM38_CENTRAL_NERVOUS_SYSTEM
C356	MALME3M_SKIN
C357	LS180_LARGE_INTESTINE
C358	NIHOVCAR3_OVARY
C359	MOGGCCM_CENTRAL_NERVOUS_SYSTEM
C360	MCAS_OVARY
C361	NCIH747_LARGE_INTESTINE
C362	KCIMOH1_PANCREAS
C363	HCC1833_LUNG
C364	HT144_SKIN
C365	BCPAP_THYROID
C366	GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C367	DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C368	UMUC3_URINARY_TRACT
C369	HS695T_SKIN
C370	T3M10_LUNG
C371	MFE296_ENDOMETRIUM
C372	HCC95_LUNG
C373	P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C374	HCC78_LUNG
C375	NCIH2172_LUNG
C376	NCIH2196_LUNG
C377	IM95_STOMACH
C378	NCIH446_LUNG
C379	DMS153_LUNG
C380	KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C381	OE19_OESOPHAGUS
C382	SNU398_LIVER
C383	786O_KIDNEY
C384	RPMI7951_SKIN
C385	EFM19_BREAST
C386	OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C387	HS698T_LARGE_INTESTINE
C388	ALEXANDERCELLS_LIVER
C389	NCIH810_LUNG
C390	HUPT3_PANCREAS
C391	59M_OVARY
C392	KNS62_LUNG
C393	MDAMB361_BREAST
C394	KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C395	HEC151_ENDOMETRIUM
C396	SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C397	NCIH2291_LUNG
C398	PK1_PANCREAS
C399	SKMEL28_SKIN
C400	JIMT1_BREAST
C401	NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C402	DKMG_CENTRAL_NERVOUS_SYSTEM
C403	SJSA1_BONE
C404	HK2_KIDNEY
C405	NCIH1755_LUNG
C406	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C407	MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C408	HS822T_BONE
C409	IGR39_SKIN
C410	G402_SOFT_TISSUE
C411	NALM19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C412	HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C413	SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C414	ASPC1_PANCREAS
C415	JHH5_LIVER
C416	QGP1_PANCREAS
C417	RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C418	NCIH1105_LUNG
C419	DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C420	CAL120_BREAST
C421	SNUC5_LARGE_INTESTINE
C422	HCC2108_LUNG
C423	SW1463_LARGE_INTESTINE
C424	CAKI1_KIDNEY
C425	KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C426	MPP89_PLEURA
C427	COLO205_LARGE_INTESTINE
C428	NCIH524_LUNG
C429	NCIH2122_LUNG
C430	TE10_OESOPHAGUS
C431	HUH1_LIVER
C432	RCHACV_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C433	KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C434	ECGI10_OESOPHAGUS
C435	SW1417_LARGE_INTESTINE
C436	L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C437	SKNDZ_AUTONOMIC_GANGLIA
C438	F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C439	HSC3_UPPER_AERODIGESTIVE_TRACT
C440	OCILY10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C441	GLC82_LUNG
C442	DMS273_LUNG
C443	KURAMOCHI_OVARY
C444	HS852T_SKIN
C445	MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C446	TT_OESOPHAGUS
C447	HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C448	2313287_STOMACH
C449	BICR22_UPPER_AERODIGESTIVE_TRACT
C450	MESSA_SOFT_TISSUE
C451	A704_KIDNEY
C452	JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C453	HCC2218_BREAST
C454	BEN_LUNG
C455	TE5_OESOPHAGUS
C456	NCIH2009_LUNG
C457	HUG1N_STOMACH
C458	MDST8_LARGE_INTESTINE
C459	RH18_SOFT_TISSUE
C460	SW1710_URINARY_TRACT
C461	CORL23_LUNG
C462	PANC0813_PANCREAS
C463	A253_SALIVARY_GLAND
C464	CORL105_LUNG
C465	EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C466	WM115_SKIN
C467	NCIH1869_LUNG
C468	SNU46_UPPER_AERODIGESTIVE_TRACT
C469	LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C470	SW579_THYROID
C471	MOLT13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C472	KU1919_URINARY_TRACT
C473	NCIH2106_LUNG
C474	NCIH1435_LUNG
C475	BICR6_UPPER_AERODIGESTIVE_TRACT
C476	CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C477	VMRCLCD_LUNG
C478	253JBV_URINARY_TRACT
C479	MG63_BONE
C480	SW1088_CENTRAL_NERVOUS_SYSTEM
C481	NCIH1092_LUNG
C482	FUOV1_OVARY
C483	HCC1569_BREAST
C484	HS683_CENTRAL_NERVOUS_SYSTEM
C485	HS934T_SKIN
C486	SNU201_CENTRAL_NERVOUS_SYSTEM
C487	IGR1_SKIN
C488	HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C489	NCIH526_LUNG
C490	TO175T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C491	OELE_OVARY
C492	ESS1_ENDOMETRIUM
C493	SNU475_LIVER
C494	UACC893_BREAST
C495	NCIH647_LUNG
C496	BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C497	SKMEL5_SKIN
C498	EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C499	CAOV4_OVARY
C500	HS675T_LARGE_INTESTINE
C501	MDAMB415_BREAST
C502	IGR37_SKIN
C503	MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C504	COV434_OVARY
C505	PECAPJ49_UPPER_AERODIGESTIVE_TRACT
C506	SW900_LUNG
C507	IOMMLEE_CENTRAL_NERVOUS_SYSTEM
C508	NCIH2030_LUNG
C509	F5_CENTRAL_NERVOUS_SYSTEM
C510	MELJUSO_SKIN
C511	TE441T_SOFT_TISSUE
C512	NCIH596_LUNG
C513	A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C514	NCIH2171_LUNG
C515	HS281T_BREAST
C516	NCIH1355_LUNG
C517	NCIH3255_LUNG
C518	SNU410_PANCREAS
C519	OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C520	OE33_OESOPHAGUS
C521	RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C522	MIAPACA2_PANCREAS
C523	HCC4006_LUNG
C524	MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C525	KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C526	NCIH2110_LUNG
C527	CADOES1_BONE
C528	HCC1897_LUNG
C529	JHUEM3_ENDOMETRIUM
C530	NCIH889_LUNG
C531	HCT116_LARGE_INTESTINE
C532	NCIH1734_LUNG
C533	RKO_LARGE_INTESTINE
C534	HCC33_LUNG
C535	5637_URINARY_TRACT
C536	MFE280_ENDOMETRIUM
C537	HUPT4_PANCREAS
C538	HUCCT1_BILIARY_TRACT
C539	HEC6_ENDOMETRIUM
C540	KMRC20_KIDNEY
C541	OVK18_OVARY
C542	BICR18_UPPER_AERODIGESTIVE_TRACT
C543	MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C544	CHL1_SKIN
C545	GCIY_STOMACH
C546	KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C547	KP1N_PANCREAS
C548	HSC4_UPPER_AERODIGESTIVE_TRACT
C549	YKG1_CENTRAL_NERVOUS_SYSTEM
C550	HT1376_URINARY_TRACT
C551	HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C552	NCIH1618_LUNG
C553	P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C554	HS706T_BONE
C555	LN428_CENTRAL_NERVOUS_SYSTEM
C556	CL34_LARGE_INTESTINE
C557	DMS53_LUNG
C558	TOV112D_OVARY
C559	SW1353_BONE
C560	SW1990_PANCREAS
C561	HCC366_LUNG
C562	EFO21_OVARY
C563	CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C564	SNUC1_LARGE_INTESTINE
C565	EN_ENDOMETRIUM
C566	DANG_PANCREAS
C567	HS229T_LUNG
C568	SAOS2_BONE
C569	DETROIT562_UPPER_AERODIGESTIVE_TRACT
C570	KYSE30_OESOPHAGUS
C571	SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C572	SW1783_CENTRAL_NERVOUS_SYSTEM
C573	HLC1_LUNG
C574	HCC44_LUNG
C575	GI1_CENTRAL_NERVOUS_SYSTEM
C576	MDAMB436_BREAST
C577	A673_BONE
C578	SNU407_LARGE_INTESTINE
C579	MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C580	SNU16_STOMACH
C581	HCC2157_BREAST
C582	KE39_STOMACH
C583	PANC1005_PANCREAS
C584	MOLP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C585	BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C586	SNUC2A_LARGE_INTESTINE
C587	MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C588	KMBC2_URINARY_TRACT
C589	EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C590	UOK101_KIDNEY
C591	HMCB_SKIN
C592	KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C593	KELLY_AUTONOMIC_GANGLIA
C594	HS294T_SKIN
C595	SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C596	PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C597	HCC202_BREAST
C598	SLR21_KIDNEY
C599	MOLT4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C600	NCIH1155_LUNG
C601	OE21_OESOPHAGUS
C602	SNB19_CENTRAL_NERVOUS_SYSTEM
C603	RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C604	HCC1500_BREAST
C605	HCC1806_BREAST
C606	CALU1_LUNG
C607	NCIH2228_LUNG
C608	CCK81_LARGE_INTESTINE
C609	MDAPCA2B_PROSTATE
C610	FADU_UPPER_AERODIGESTIVE_TRACT
C611	HLE_LIVER
C612	JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C613	A1207_CENTRAL_NERVOUS_SYSTEM
C614	HPAFII_PANCREAS
C615	SNU601_STOMACH
C616	RERFGC1B_STOMACH
C617	8MGBA_CENTRAL_NERVOUS_SYSTEM
C618	M059K_CENTRAL_NERVOUS_SYSTEM
C619	KMRC1_KIDNEY
C620	NCIH1184_LUNG
C621	OAW42_OVARY
C622	NCIH460_LUNG
C623	DMS114_LUNG
C624	KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C625	OAW28_OVARY
C626	HCC1359_LUNG
C627	JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C628	NCIH1915_LUNG
C629	GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C630	BT20_BREAST
C631	OVKATE_OVARY
C632	OC315_OVARY
C633	HLF_LIVER
C634	JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C635	HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C636	SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C637	TUHR10TKB_KIDNEY
C638	COV362_OVARY
C639	SNGM_ENDOMETRIUM
C640	SW948_LARGE_INTESTINE
C641	HCC1588_LUNG
C642	NCIH292_LUNG
C643	COV318_OVARY
C644	WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C645	KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C646	SNU620_STOMACH
C647	PL45_PANCREAS
C648	SHP77_LUNG
C649	OVCAR8_OVARY
C650	NCIH2342_LUNG
C651	LU65_LUNG
C652	RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C653	NCIH69_LUNG
C654	SNU387_LIVER
C655	T3M4_PANCREAS
C656	NCIH2286_LUNG
C657	BFTC909_KIDNEY
C658	RH30_SOFT_TISSUE
C659	SKHEP1_LIVER
